										
권리사 지역	권리사	권리사 유형	유통사분류	유통사	아티스트분류	아티스트	 음원명 	 곡수 	 2022년 	 2023년 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 Stray Kids (스트레이 키즈) 	 MANIAC 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 NMIXX 	 O.O 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 나연 (TWICE) 	 POP! 	 1 	 1 	 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 TWICE 	 SCIENTIST 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 TWICE 	 SET ME FREE 	 1 		 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 ITZY (있지) 	 SNEAKERS 	 1 	 1 	 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 TWICE 	 Talk that Talk 	 1 	 1 	 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 NMIXX 	 Young, Dumb, Stupid 	 1 		 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 Stray Kids (스트레이 키즈) 	 특 	 1 		 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 DAY6 	 한 페이지가 될 수 있게 	 1 	 1 	 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 지니뮤직 	 지니뮤직 	 아이돌 	 DAY6 	 예뻤어 	 1 	 1 	 1 
 국내 	 Kakao Entertainment 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 Blueming 	 1 	 1 	 1 
 국내 	 Kakao Entertainment 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 Love poem 	 1 	 1 	
 국내 	 Kakao Entertainment 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 미리 메리 크리스마스 (Feat. 천둥) 	 1 	 1 	 1 
 국내 	 Kakao Entertainment 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 빅마마 (BigMama) 	 아무렇지 않은 척 	 1 	 1 	
 국내 	 Kakao Entertainment 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 빅마마 (BigMama) 	 하루만 더 	 1 	 1 	
 국내 	 KONNECT ENTERTAINMENT 	 권리사 단독 	 해외직배사 	 Sony Music 	 아이돌 	 강다니엘 	 Upside Down 	 1 	 1 	
