일자	년도	곡수	순위	곡코드	곡명	아티스트명	앨범명	발매일	발매년도	앨범소장르	앨범대장르	유통사	기획사
2024-01-01	2024년	1	118	85979370	다시 사랑한다면 (니글니글 버터플라이)	김필	복면가왕 47회	2016-02-21	이전 발매	전체	가요	(주)더블유피어	MBC (문화방송)
2024-01-01	2024년	1	119	102067588	모래 알갱이	임영웅	모래 알갱이	2023-06-05	이전 발매	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2024-01-01	2024년	1	120	98633640	Nxde	(여자)아이들	I love	2022-10-17	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	큐브 엔터테인먼트
2024-01-01	2024년	1	121	96696809	다시 만날 수 있을까	임영웅	IM HERO	2022-05-02	이전 발매	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2024-01-01	2024년	1	122	102051698	사실말야내가말야그게그러니까말이야	케이시 (Kassy)	사실말야내가말야그게그러니까말이야	2023-06-04	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	넥스타엔터테인먼트
2024-01-01	2024년	1	123	93340450	Every Second	Mina Okabe	Every Second	2021-05-21	이전 발매	팝	POP	(주)유니버설뮤직(해외)	Universal Music (Denmark) A/S
2024-01-01	2024년	1	124	81657574	크리스마스니까	성시경 & 박효신 & 이석훈 & 서인국 & VIXX (빅스)	Jelly Christmas 2012 HEART PROJECT	2012-12-06	이전 발매	전체	가요	주식회사 카카오엔터테인먼트	젤리피쉬 엔터테인먼트
2024-01-01	2024년	1	125	89996290	좋은 밤 좋은 꿈	너드커넥션 (Nerd Connection)	좋은 밤 좋은 꿈	2020-03-23	이전 발매	락	가요	(주)뮤직카로마	ES Records
2024-01-01	2024년	1	126	103414267	별 떨어진다 (I Do)	디오 (D.O.)	기대 - The 2nd Mini Album	2023-09-18	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	127	81018403	내 손을 잡아	아이유 (IU)	최고의 사랑 OST Part.4 (MBC 수목드라마)	2011-05-25	이전 발매	드라마	OST	주식회사 카카오엔터테인먼트	카카오엔터테인먼트
2024-01-01	2024년	1	128	102143557	사랑의 바보	제이세라 (J-Cera)	사랑의 바보	2023-06-10	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	투플원 엔터테인먼트, ㈜제나두엔터테인먼트
2024-01-01	2024년	1	129	90021550	아로하	조정석	슬기로운 의사생활 OST Part 3 (tvN 목요드라마)	2020-03-27	이전 발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2024-01-01	2024년	1	130	89815269	시작	가호 (Gaho)	이태원 클라쓰 OST Part.2 (JTBC 금토드라마)	2020-02-01	이전 발매	드라마	OST	주식회사 블렌딩(신규)	㈜블렌딩
2024-01-01	2024년	1	131	102563174	New Jeans	NewJeans	NewJeans 2nd EP 'Get Up'	2023-07-21	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2024-01-01	2024년	1	132	97404331	보고싶었어	WSG워너비 (4FIRE)	WSG워너비 1집	2022-07-09	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	문화방송
2024-01-01	2024년	1	133	100602627	사랑하기 싫어	지아	사랑하기 싫어	2023-02-24	이전 발매	발라드	가요	주식회사 벅스(BUGS Corporation)	니즈뮤직
2024-01-01	2024년	1	134	82593715	I'm Not The Only One	Sam Smith	In The Lonely Hour	2014-01-01	이전 발매	팝	POP	(주)유니버설뮤직(해외)	Capitol
2024-01-01	2024년	1	135	104589614	입술 (Feat. 10CM)	헤이즈 (Heize)	Last Winter	2023-12-07	이전 발매	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	피네이션
2024-01-01	2024년	1	136	90413574	OHAYO MY NIGHT	디핵 (D-Hack) & PATEKO	OHAYO MY NIGHT	2020-06-20	이전 발매	랩/힙합	가요	(주)와이지플러스	NEOKIDZ
2024-01-01	2024년	1	137	96587489	정이라고 하자 (Feat. 10CM)	BIG Naughty (서동현)	정이라고 하자	2022-04-20	이전 발매	인디	가요	주식회사 카카오엔터테인먼트	H1GHR MUSIC RECORDS
2024-01-01	2024년	1	138	92125854	Celebrity	아이유 (IU)	IU 5th Album 'LILAC'	2021-03-25	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2024-01-01	2024년	1	139	89613039	Blueming	아이유 (IU)	Love poem	2019-11-18	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트
