날짜	년도	곡수	순위	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2022-12-18	2022년	1	168	98567067	그래서 그대는	이영현	그래서 그대는	2022-10-10	2022년	발라드	가요	주식회사 카카오엔터테인먼트	방구석 캐스팅
2022-12-18	2022년	1	169	86941521	봄날	방탄소년단	YOU NEVER WALK ALONE	2017-02-13	이전발매	댄스	가요	(주)와이지플러스	BIGHIT MUSIC
2022-12-18	2022년	1	170	99524274	푸른꽃	리아 (ITZY)	환혼 : 빛과 그림자 OST Part 1	2022-12-18	2022년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-12-18	2022년	1	171	88773173	작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)	방탄소년단	MAP OF THE SOUL : PERSONA	2019-04-12	이전발매	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2022-12-18	2022년	1	172	92156075	추억은 만남보다 이별에 남아	정동하	추억은 만남보다 이별에 남아	2021-01-31	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	뮤직원 컴퍼니
2022-12-18	2022년	1	173	86868163	Shape Of You	Ed Sheeran	÷ (Deluxe)	2017-03-03	이전발매	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records UK
2022-12-18	2022년	1	174	98800649	고백연습	경서	고백연습	2022-10-30	2022년	인디	가요	주식회사 카카오엔터테인먼트	꿈의 엔진
2022-12-18	2022년	1	175	95299676	Counting Stars (Feat. Beenzino)	BE'O (비오)	Counting Stars	2021-12-12	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	BPM ENTERTAINMENT, FameUs Entertainment
2022-12-18	2022년	1	176	98384274	Unholy	Sam Smith & Kim Petras	Unholy	2022-09-23	2022년	팝	POP	(주)유니버설뮤직(해외)	Universal Music Operations Limited
2022-12-18	2022년	1	177	96696808	손이 참 곱던 그대	임영웅	IM HERO	2022-05-02	2022년	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	178	85671674	화이트 (WHITE) (Feat. 박재범)	다비치	D-MAKE	2015-12-16	이전발매	전체	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, B2M Entertainment
2022-12-18	2022년	1	179	16169546	Timeless	SG워너비	Wanna Be＋	2004-01-19	이전발매	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-12-18	2022년	1	180	96696814	사랑해 진짜	임영웅	IM HERO	2022-05-02	2022년	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	181	95730424	Light Switch	Charlie Puth	CHARLIE	2022-10-07	2022년	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records
2022-12-18	2022년	1	182	91359951	parachute	John K	love ＋ everything else	2020-11-13	이전발매	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Epic
2022-12-18	2022년	1	183	93304399	비와 당신	이무진	슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)	2021-06-18	이전발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2022-12-18	2022년	1	184	98275711	달	스트레이 (The Stray)	달	2022-09-15	2022년	인디	가요	(주)비타민엔터테인먼트(국내)	에이뎀레코드
2022-12-18	2022년	1	185	91551008	그날에 나는 맘이 편했을까	이예준	그날에 나는 맘이 편했을까	2020-12-03	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	뮤니콘
2022-12-18	2022년	1	186	96696815	연애편지	임영웅	IM HERO	2022-05-02	2022년	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	187	91839600	밝게 빛나는 별이 되어 비춰줄게	송이한	밝게 빛나는 별이 되어 비춰줄게	2020-12-29	이전발매	인디	가요	주식회사 카카오엔터테인먼트	㈜뮤직디자인
2022-12-18	2022년	1	188	90539282	Rainy day (Feat. ASH ISLAND & Skinny Brown)	PATEKO (파테코)	Rainy day	2020-07-19	이전발매	랩/힙합	가요	(주)와이지플러스	tokkinny records
2022-12-18	2022년	1	189	81629990	Holly Jolly Christmas	Michael Bublé	Christmas (Deluxe Special Edition)	2019-11-01	이전발매	캐롤	그외장르	워너뮤직코리아(주)(해외)	Reprise
2022-12-18	2022년	1	190	96111786	어제처럼	폴킴	어제처럼	2022-02-27	2022년	발라드	가요	주식회사 카카오엔터테인먼트	메모리즈 프로젝트
2022-12-18	2022년	1	191	89815269	시작	가호 (Gaho)	이태원 클라쓰 OST Part.2 (JTBC 금토드라마)	2020-02-01	이전발매	드라마	OST	주식회사 블렌딩(신규)	㈜블렌딩
2022-12-18	2022년	1	192	99512832	Tangerine Love (Favorite)	NCT DREAM	Candy - Winter Special Mini Album	2022-12-16	2022년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2022-12-18	2022년	1	193	95038275	만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL)	베이식 (Basick)	쇼미더머니 10 Episode 3	2021-11-20	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-12-18	2022년	1	194	96696817	인생찬가	임영웅	IM HERO	2022-05-02	2022년	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	195	82170772	Last Christmas	Ariana Grande	Christmas Kisses	2013-12-18	이전발매	캐롤	그외장르	(주)유니버설뮤직(해외)	Republic Records, a division of UMG Recordings, Inc.
2022-12-18	2022년	1	196	96426855	아무래도 난	주시크 (Joosiq)	아무래도 난	2022-03-30	2022년	인디	가요	(주)비타민엔터테인먼트(국내)	주식회사 레시피뮤직
2022-12-18	2022년	1	197	86992414	롤린 (Rollin')	브레이브걸스 (Brave girls)	Rollin'	2017-03-07	이전발매	댄스	가요	(주)삼쩜일사	브레이브엔터테인먼트 (BRAVE ENTERTAINMENT)
2022-12-18	2022년	1	198	96988596	그 하루 (Feat. 반하나)	주호	그 하루	2022-06-08	2022년	발라드	가요	(주)비타민엔터테인먼트(국내)	IN A MILLION
2022-12-18	2022년	1	199	97869711	통화연결음	보라미유 & MJ (써니사이드)	통화연결음	2022-08-14	2022년	발라드	가요	주식회사 카카오엔터테인먼트	프로젝트 리본+
2022-12-18	2022년	1	200	96696813	보금자리	임영웅	IM HERO	2022-05-02	2022년	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	201	89564174	Make It To Christmas	Alessia Cara	Make It To Christmas	2019-11-08	이전발매	캐롤	그외장르	(주)유니버설뮤직(해외)	Def Jam Recordings, a division of UMG Recordings, Inc
2022-12-18	2022년	1	202	92682943	Peaches (Feat. Daniel Caesar & Giveon)	Justin Bieber	Justice	2021-03-19	이전발매	팝	POP	(주)유니버설뮤직(해외)	Def Jam Recordings, a division of UMG Recordings, Inc
2022-12-18	2022년	1	203	99344559	메리 메리 크리스마스	이석훈 & 윤하 (YOUNHA) & CIX (씨아이엑스) & cignature (시그니처) & EPEX (이펙스)	C9 Single Album '2022 C9 Christmas'	2022-12-07	2022년	댄스	가요	STONE MUSIC ENTERTAINMENT(유통대행)	C9 Entertainment
