날짜	년도	순위	곡수	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2021-10-18	2021년	73	1	92517481	LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)	양요섭 & 정은지	LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)	2021-03-05	2021년	댄스	가요	주식회사 카카오엔터테인먼트	TOON STUDIO, 느을
2021-10-18	2021년	74	1	86121754	상상더하기	라붐 (LABOUM)	Fresh Adventure	2016-04-06	2016년	댄스	가요	(주)인터파크	주식회사 글로벌에이치미디어 (GLOBAL H)
2021-10-18	2021년	75	1	91423133	VVS (Feat. JUSTHIS) (Prod. by GroovyRoom)	미란이 (MIRANI) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM)	쇼미더머니 9 Episode 1	2020-11-21	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	76	1	90947953	Lovesick Girls	BLACKPINK	THE ALBUM	2020-10-02	2020년	댄스	가요	(주)와이지플러스	(주)YG엔터테인먼트
2021-10-18	2021년	77	1	94392150	바람	최유리	갯마을 차차차 OST Part 4	2021-09-25	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	78	1	93869782	이젠 잊기로 해요 (Drama Ver.)	미도와 파라솔	슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)	2021-07-30	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	79	1	94446022	사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치))	이해리 (다비치)	사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치))	2021-09-29	2021년	발라드	가요	주식회사 카카오엔터테인먼트	TOON STUDIO, MATCHERS
2021-10-18	2021년	80	1	90250302	사랑하게 될 줄 알았어	전미도	슬기로운 의사생활 OST Part 11 (tvN 목요드라마)	2020-05-22	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	81	1	89374289	Memories	Maroon 5	Memories	2019-09-20	2019년	팝	POP	(주)유니버설뮤직(해외)	Interscope Records (222 Records)
2021-10-18	2021년	82	1	93506686	Alcohol-Free	TWICE (트와이스)	Taste of Love	2021-06-11	2021년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-10-18	2021년	83	1	94395971	전화 한 번 못하니	신예영	전화 한 번 못하니 (너에게 하고 싶은 말 X 신예영)	2021-09-26	2021년	발라드	가요	(주)비타민엔터테인먼트(국내)	프로젝트 리본
2021-10-18	2021년	84	1	92156075	추억은 만남보다 이별에 남아	정동하	추억은 만남보다 이별에 남아	2021-01-31	2021년	발라드	가요	주식회사 카카오엔터테인먼트	뮤직원 컴퍼니
2021-10-18	2021년	85	1	86941521	봄날	방탄소년단	YOU NEVER WALK ALONE	2017-02-13	2017년	댄스	가요	(주)와이지플러스	BIGHIT MUSIC
2021-10-18	2021년	86	1	91359951	parachute	John K	love ＋ everything else	2020-11-13	2020년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Epic
2021-10-18	2021년	87	1	89269039	서툰 이별을 하려해 (Feat. 전상근)	윤토벤 (YounToven)	서툰 이별을 하려해	2019-08-01	2019년	발라드	가요	주식회사 사운드리퍼블리카	윤토벤
2021-10-18	2021년	88	1	91134598	잠이 오질 않네요	장범준	잠이 오질 않네요	2020-10-24	2020년	발라드	가요	주식회사 카카오엔터테인먼트	㈜버스커버스커
2021-10-18	2021년	89	1	93522004	추적이는 여름 비가 되어	장범준	장범준 싱글	2021-06-11	2021년	발라드	가요	주식회사 카카오엔터테인먼트	㈜버스커버스커
2021-10-18	2021년	90	1	89558702	늦은 밤 너의 집 앞 골목길에서	노을	늦은 밤 너의 집 앞 골목길에서	2019-11-07	2019년	발라드	가요	주식회사 카카오엔터테인먼트	씨제스 엔터테인먼트 (C-JeS Entertainment)
2021-10-18	2021년	91	1	92917273	Kiss Me More (Feat. SZA)	Doja Cat	Kiss Me More	2021-04-09	2021년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Kemosabe Records, RCA Records
2021-10-18	2021년	92	1	94343433	해운대	순순희	해운대	2021-09-22	2021년	인디	가요	주식회사 카카오엔터테인먼트	비에스(BS) Ent.
2021-10-18	2021년	93	1	87034188	밤편지	아이유 (IU)	밤편지	2017-03-24	2017년	발라드	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트, ㈜페이브엔터테인먼트
2021-10-18	2021년	94	1	91551008	그날에 나는 맘이 편했을까	이예준	그날에 나는 맘이 편했을까	2020-12-03	2020년	발라드	가요	주식회사 카카오엔터테인먼트	뮤니콘
2021-10-18	2021년	95	1	87894567	Bad	Christopher	Under the Surface	2019-11-08	2019년	팝	POP	워너뮤직코리아(주)(해외)	Parlophone Denmark
2021-10-18	2021년	96	1	91423137	Life Goes On	방탄소년단	BE	2020-11-20	2020년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2021-10-18	2021년	97	1	89296790	안녕	폴킴	호텔 델루나 OST Part.10 (tvN 토일드라마)	2019-08-12	2019년	드라마	OST	(주)드림어스컴퍼니(국내)	냠냠엔터테인먼트
2021-10-18	2021년	98	1	91123274	나랑 같이 걸을래 (바른연애 길잡이 X 적재)	적재	나랑 같이 걸을래 (바른연애 길잡이 X 적재)	2020-10-23	2020년	인디	가요	주식회사 카카오엔터테인먼트	TOON STUDIO, 느을
2021-10-18	2021년	99	1	89671512	너의 번호를 누르고 (Prod. by 영화처럼)	#안녕	너의 번호를 누르고	2019-11-30	2019년	인디	가요	(주)비타민엔터테인먼트(국내)	니즈먼트
2021-10-18	2021년	100	1	90155965	Dolphin	오마이걸 (OH MY GIRL)	NONSTOP	2020-04-27	2020년	댄스	가요	소니뮤직엔터테인먼트코리아(주)(국내)	WM Entertainment
2021-10-18	2021년	101	1	90106691	사실 나는 (Feat. 전건호)	경서예지	사실 나는	2020-04-12	2020년	인디	가요	주식회사 카카오엔터테인먼트	먼데이키즈 컴퍼니, 에버그로우
2021-10-18	2021년	102	1	94621926	다정히 내 이름을 부르면 (남자 Ver.)	전건호	다정히 내 이름을 부르면	2021-10-18	2021년	발라드	가요	주식회사 카카오엔터테인먼트	에버그로우
2021-10-18	2021년	103	1	94609098	행복했으면 좋겠어	이상이	갯마을 차차차 OST Part 8	2021-10-17	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	104	1	89859975	마음을 드려요	아이유 (IU)	사랑의 불시착 OST Part 11 (tvN 토일 드라마)	2020-02-15	2020년	드라마	OST	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2021-10-18	2021년	105	1	94460902	내 기억 속에 남아 있는 그대 모습은	산들	갯마을 차차차 OST Part 6	2021-10-03	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	106	1	89290354	Dance Monkey	Tones And I	The Kids Are Coming	2019-08-29	2019년	락	POP	워너뮤직코리아(주)(해외)	Elektra (NEK)
2021-10-18	2021년	107	1	82280761	너의 모든 순간	성시경	별에서 온 그대 OST Part.7 (SBS 수목드라마)	2014-02-12	2014년	드라마	OST	주식회사 벅스(BUGS Corporation)	㈜SBS콘텐츠허브 (㈜에스비에스콘텐츠허브)
2021-10-18	2021년	108	1	89943155	어떻게 지내 (Prod. by VAN.C)	오반	어떻게 지내	2020-03-05	2020년	인디	가요	주식회사 카카오엔터테인먼트	로맨틱팩토리
2021-10-18	2021년	109	1	90001474	좋은 사람 있으면 소개시켜줘	조이 (JOY)	슬기로운 의사생활 OST Part 2 (tvN 목요드라마)	2020-03-20	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	110	1	92528097	Leave The Door Open	Bruno Mars & Anderson .Paak & Silk Sonic	An Evening With Silk Sonic	2021-11-12	2021년	R&B/소울	POP	워너뮤직코리아(주)(해외)	Aftermath Entertainment, Atlantic
2021-10-18	2021년	111	1	87240368	비도 오고 그래서 (Feat. 신용재)	헤이즈 (Heize)	/// (너 먹구름 비)	2017-06-26	2017년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, Studio blu
2021-10-18	2021년	112	1	92558379	별빛 같은 나의 사랑아	임영웅	별빛 같은 나의 사랑아	2021-03-09	2021년	트로트	가요	주식회사 카카오엔터테인먼트	티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
2021-10-18	2021년	113	1	88074702	Way Back Home	숀 (SHAUN)	Take	2018-06-27	2018년	인디	가요	(주)비타민엔터테인먼트(국내)	디씨톰엔터테인먼트
2021-10-18	2021년	114	1	94015071	사진을 보다가	다비치	사진을 보다가 (REVIBE Vol.2)	2021-08-18	2021년	발라드	가요	(주)지니뮤직(펀드)	메이저나인
2021-10-18	2021년	115	1	93619161	나를 아는 사람	MSG워너비 (정상동기)	MSG워너비 1집	2021-06-26	2021년	발라드	가요	STONE MUSIC ENTERTAINMENT(유통대행)	유야호
2021-10-18	2021년	116	1	91829432	우린 어쩌다 헤어진 걸까	허각	Hello	2020-12-28	2020년	발라드	가요	주식회사 카카오엔터테인먼트	㈜플레이엠엔터테인먼트
2021-10-18	2021년	117	1	90539282	Rainy day (Feat. ASH ISLAND & Skinny Brown)	PATEKO (파테코)	Rainy day	2020-07-19	2020년	랩/힙합	가요	(주)와이지플러스	tokkinny records
2021-10-18	2021년	118	1	58806755	라라라	SG워너비	My Friend	2008-04-24	2008년	전체	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	119	1	93690649	그대라는 사치	임영웅	사랑의 콜센타 PART62	2021-07-06	2021년	발라드	가요	주식회사 카카오엔터테인먼트	TV CHOSUN, ㈜쇼플레이
2021-10-18	2021년	120	1	94609018	우리의 이야기	멜로망스 (MeloMance)	유미의 세포들 OST Part 8	2021-10-15	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	121	1	88336380	너를 만나	폴킴	너를 만나	2018-10-29	2018년	발라드	가요	주식회사 카카오엔터테인먼트	뉴런뮤직
2021-10-18	2021년	122	1	89815269	시작	가호 (Gaho)	이태원 클라쓰 OST Part.2 (JTBC 금토드라마)	2020-02-01	2020년	드라마	OST	주식회사 블렌딩(신규)	㈜블렌딩
2021-10-18	2021년	123	1	88686378	주저하는 연인들을 위해	잔나비	전설	2019-03-13	2019년	인디	가요	주식회사 카카오엔터테인먼트	페포니 뮤직
2021-10-18	2021년	124	1	90709438	내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)	규현 (KYUHYUN)	내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)	2020-08-23	2020년	발라드	가요	주식회사 카카오엔터테인먼트	TOON STUDIO, 느을
2021-10-18	2021년	125	1	92749703	Coin	아이유 (IU)	IU 5th Album 'LILAC'	2021-03-25	2021년	댄스	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2021-10-18	2021년	126	1	92070716	이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)	10CM	이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)	2021-01-24	2021년	발라드	가요	주식회사 카카오엔터테인먼트	TOON STUDIO, 느을
2021-10-18	2021년	127	1	91264455	HERO	임영웅	HERO	2020-11-04	2020년	트로트	가요	주식회사 카카오엔터테인먼트	티조컬처앤컨텐츠, 뉴에라프로젝트
2021-10-18	2021년	128	1	88281290	Paris in the Rain	Lauv	I met you when I was 18. (the playlist)	2018-05-31	2018년	팝	POP	주식회사 벅스(BUGS Corporation)	뮤직테이블
2021-10-18	2021년	129	1	94014638	여전히 아름다운지	세븐틴 (SEVENTEEN)	슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)	2021-08-13	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	130	1	86868163	Shape Of You	Ed Sheeran	÷ (Deluxe)	2017-03-03	2017년	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records UK
2021-10-18	2021년	131	1	93636377	끝사랑	임영웅	사랑의 콜센타 PART61	2021-06-29	2021년	트로트	가요	주식회사 카카오엔터테인먼트	TV CHOSUN, ㈜쇼플레이
2021-10-18	2021년	132	1	86868102	첫눈처럼 너에게 가겠다	에일리 (Ailee)	도깨비 OST Part 9 (tvN 금토드라마)	2017-01-07	2017년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 화앤담픽쳐스
2021-10-18	2021년	133	1	94471287	너의 모습	정동하	너의 모습	2021-10-04	2021년	발라드	가요	주식회사 카카오엔터테인먼트	뮤직원 컴퍼니
2021-10-18	2021년	134	1	93819475	은하수를 닮은 너에게 (Feat. 몰리디)	경서예지	은하수를 닮은 너에게	2021-07-22	2021년	발라드	가요	주식회사 카카오엔터테인먼트	에버그로우
2021-10-18	2021년	135	1	90928056	밤하늘의 저 별처럼	헤이즈 (Heize) & 펀치 (Punch)	밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)	2020-09-27	2020년	드라마	OST	주식회사 카카오엔터테인먼트	냠냠엔터테인먼트
2021-10-18	2021년	136	1	93777908	고백	장범준	첫 번째 '고백'	2021-07-19	2021년	락	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트, 버스커버스커
2021-10-18	2021년	137	1	92797995	Tiny Riot	Sam Ryder	The Sun's Gonna Rise	2021-09-24	2021년	팝	POP	워너뮤직코리아(주)(해외)	Parlophone UK
2021-10-18	2021년	138	1	88709300	사계 (Four Seasons)	태연 (TAEYEON)	사계 (Four Seasons)	2019-03-24	2019년	발라드	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-10-18	2021년	139	1	89520901	Don't Start Now	Dua Lipa	Future Nostalgia	2020-03-27	2020년	팝	POP	워너뮤직코리아(주)(해외)	Warner Records
2021-10-18	2021년	140	1	94248253	산책	백예린 (Yerin Baek)	선물	2021-09-10	2021년	발라드	가요	(주)드림어스컴퍼니(국내)	블루바이닐
2021-10-18	2021년	141	1	93357465	상상더하기	MSG워너비	MSG워너비 TOP 8 경연곡	2021-05-22	2021년	댄스	가요	STONE MUSIC ENTERTAINMENT(유통대행)	(주)문화방송
2021-10-18	2021년	142	1	93699934	밤이 되니까	원슈타인	밤이 되니까	2021-07-07	2021년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	냠냠엔터테인먼트
2021-10-18	2021년	143	1	93585881	잊었니	임영웅	사랑의 콜센타 PART60	2021-06-22	2021년	트로트	가요	주식회사 카카오엔터테인먼트	TV CHOSUN, ㈜쇼플레이
2021-10-18	2021년	144	1	90914605	Bad Boy	청하 & Christopher	Bad Boy	2020-09-23	2020년	댄스	가요	워너뮤직코리아(주)(해외)	Parlophone Denmark
2021-10-18	2021년	145	1	91066986	Ashes	Stellar	Ashes	2020-10-13	2020년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Arista Records
2021-10-18	2021년	146	1	92898146	그냥 안아달란 말야	다비치	그냥 안아달란 말야	2021-04-12	2021년	발라드	가요	STONE MUSIC ENTERTAINMENT(유통)	WAKEONE
2021-10-18	2021년	147	1	93803733	슈퍼스타	미도와 파라솔	슬기로운 의사생활 시즌2 OST Part 6 (tvN 목요드라마)	2021-07-23	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	148	1	90155964	살짝 설렜어 (Nonstop)	오마이걸 (OH MY GIRL)	NONSTOP	2020-04-27	2020년	댄스	가요	소니뮤직엔터테인먼트코리아(주)(국내)	WM Entertainment
2021-10-18	2021년	149	1	90069478	화려하지 않은 고백	규현 (KYUHYUN)	슬기로운 의사생활 OST Part 4 (tvN 목요드라마)	2020-04-03	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	150	1	90207913	사이렌	호미들	Ghetto Kids	2020-05-15	2020년	랩/힙합	가요	주식회사 우조엔터테인먼트	G.M.S.P
2021-10-18	2021년	151	1	93869783	벌써 일년 (Drama Ver.)	미도와 파라솔	슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)	2021-07-30	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	152	1	94618083	Easy On Me	Adele	30	2021-11-19	2021년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia
2021-10-18	2021년	153	1	89530447	Love poem	아이유 (IU)	Love poem	2019-11-18	2019년	발라드	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트
2021-10-18	2021년	154	1	94130055	로맨틱 선데이	카더가든	갯마을 차차차 OST Part 1	2021-09-05	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	155	1	89704570	도망가자 (Run With Me)	선우정아	Serenade	2019-12-12	2019년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	매직스트로베리사운드
2021-10-18	2021년	156	1	93664330	러브 (Prod. by 로코베리)	로꼬 & 이성경	Love (Prod. by Rocoberry)	2021-07-04	2021년	랩/힙합	가요	주식회사 카카오엔터테인먼트	하얀달 엔터테인먼트, 딩고뮤직
2021-10-18	2021년	157	1	93578553	Bk Love	임영웅	뽕숭아학당 PART23	2021-06-21	2021년	트로트	가요	주식회사 카카오엔터테인먼트	TV CHOSUN, ㈜쇼플레이
2021-10-18	2021년	158	1	94406127	너와 나는 이제 남이니까	이소정	너와 나는 이제 남이니까	2021-09-26	2021년	발라드	가요	주식회사 카카오엔터테인먼트	드라마하우스스튜디오, 니즈뮤직
2021-10-18	2021년	159	1	94536186	혼자 사랑하고 미워해	백예슬	혼자 사랑하고 미워해	2021-10-09	2021년	발라드	가요	주식회사 카카오엔터테인먼트	뮤니콘
2021-10-18	2021년	160	1	89492238	Maniac	Conan Gray	Maniac	2019-10-25	2019년	팝	POP	(주)유니버설뮤직(해외)	Republic Records a division of UMG Recordings Inc
2021-10-18	2021년	161	1	91091923	힘든 건 사랑이 아니다	임창정	힘든 건 사랑이 아니다	2020-10-19	2020년	발라드	가요	(주)인터파크	㈜예스아이엠엔터테인먼트
2021-10-18	2021년	162	1	88323996	Comethru	Jeremy Zucker	Summer,	2018-09-28	2018년	팝	POP	(주)유니버설뮤직(해외)	Republic Records
2021-10-18	2021년	163	1	93640201	나는 너 좋아	장범준	슬기로운 의사생활 시즌2 OST Part 3 (tvN 목요드라마)	2021-07-02	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	164	1	90191450	Stuck With U	Ariana Grande & Justin Bieber	Stuck with U	2020-05-08	2020년	팝	POP	(주)유니버설뮤직(해외)	Silent Records Ventures, LLC, Def Jam Recordings, A Division Of UMG Recordings, Inc., And Republic Records, A Division Of UMG Recordings, Inc.
2021-10-18	2021년	165	1	92604203	On The Ground	로제 (ROSÉ)	R	2021-03-12	2021년	락	가요	(주)와이지플러스	YG엔터테인먼트
2021-10-18	2021년	166	1	87506735	All Falls Down (Feat. Juliander)	Alan Walker & Noah Cyrus & Digital Farm Animals	Different World	2018-12-14	2018년	일렉트로니카	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Mer Musikk
2021-10-18	2021년	167	1	94405769	고백	어반자카파	네 번째 '고백'	2021-09-26	2021년	발라드	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트, (주)어비스컴퍼니
2021-10-18	2021년	168	1	93402565	역겹겠지만 (Remember me)	B.I	WATERFALL	2021-06-01	2021년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	IOK MUSIC
2021-10-18	2021년	169	1	91396761	Black Mamba	aespa	Black Mamba	2020-11-17	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-10-18	2021년	170	1	94247371	PING PONG	현아 & 던 (DAWN)	1＋1=1	2021-09-09	2021년	댄스	가요	주식회사 카카오엔터테인먼트	피네이션
2021-10-18	2021년	171	1	93697027	다시 사랑할 수 있을까	백지영 & 이홍기 (FT아일랜드)	다시 사랑할 수 있을까	2021-07-07	2021년	발라드	가요	주식회사 카카오엔터테인먼트	트라이어스, 방구석 캐스팅
2021-10-18	2021년	172	1	88727092	bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	2019-03-29	2019년	락	POP	(주)유니버설뮤직(해외)	Darkroom, Interscope Records
2021-10-18	2021년	173	1	88703035	On My Way	Alan Walker & Sabrina Carpenter & Farruko	On My Way	2019-03-21	2019년	일렉트로니카	POP	소니뮤직엔터테인먼트코리아(주)(해외)	MER Sweden AB
2021-10-18	2021년	174	1	89883242	ON	방탄소년단	MAP OF THE SOUL : 7	2020-02-21	2020년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2021-10-18	2021년	175	1	94392188	빛이 되어줘	김재환	갯마을 차차차 OST Part 5	2021-09-26	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	176	1	90443299	How You Like That	BLACKPINK	How You Like That	2020-06-26	2020년	랩/힙합	가요	(주)와이지플러스	(주)YG엔터테인먼트
2021-10-18	2021년	177	1	93126217	너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)	케이시 (Kassy)	너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)	2021-04-27	2021년	발라드	가요	주식회사 카카오엔터테인먼트	넥스타엔터테인먼트
2021-10-18	2021년	178	1	92749707	아이와 나의 바다	아이유 (IU)	IU 5th Album 'LILAC'	2021-03-25	2021년	댄스	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2021-10-18	2021년	179	1	91531097	Better	보아 (BoA)	BETTER - The 10th Album	2020-12-01	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-10-18	2021년	180	1	93154148	문득	BE'O (비오)	Bipolar	2021-05-02	2021년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	페임어스 엔터테인먼트
2021-10-18	2021년	181	1	94321247	Butterfly	전미도	슬기로운 의사생활 시즌2 OST Part 12 (tvN 목요드라마)	2021-09-17	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	182	1	87444264	DNA	방탄소년단	LOVE YOURSELF 承 'Her'	2017-09-18	2017년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2021-10-18	2021년	183	1	94257899	어느 햇살 좋은 날	케이시 (Kassy)	갯마을 차차차 OST Part 2	2021-09-12	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-10-18	2021년	184	1	89776757	아무노래	지코 (ZICO)	아무노래	2020-01-13	2020년	랩/힙합	가요	주식회사 카카오엔터테인먼트	KOZ 엔터테인먼트
2021-10-18	2021년	185	1	94323269	너 하나야 (낮에 뜨는 달 X 길구봉구)	길구봉구	너 하나야 (낮에 뜨는 달 X 길구봉구)	2021-09-17	2021년	발라드	가요	주식회사 카카오엔터테인먼트	TOON STUDIO
2021-10-18	2021년	186	1	92213348	고백 (바른연애 길잡이 X 허각)	허각	고백 (바른연애 길잡이 X 허각)	2021-02-04	2021년	발라드	가요	주식회사 카카오엔터테인먼트	TOON STUDIO, 느을
2021-10-18	2021년	187	1	94063592	회상	정경호	슬기로운 의사생활 시즌2 OST Part 9 (tvN 목요드라마)	2021-08-20	2021년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-10-18	2021년	188	1	88773174	소우주 (Mikrokosmos)	방탄소년단	MAP OF THE SOUL : PERSONA	2019-04-12	2019년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2021-10-18	2021년	189	1	87443133	가을 아침	아이유 (IU)	꽃갈피 둘	2017-09-22	2017년	블루스/포크	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트, ㈜페이브엔터테인먼트
2021-10-18	2021년	190	1	94124212	가까운 듯 먼 그대여	카더가든	가까운 듯 먼 그대여	2021-08-26	2021년	발라드	가요	주식회사 벅스(BUGS Corporation)	니즈뮤직
2021-10-18	2021년	191	1	89275179	기억해줘요 내 모든 날과 그때를	거미 (Gummy)	호텔 델루나 OST Part.7 (tvN 토일드라마)	2019-08-04	2019년	드라마	OST	(주)드림어스컴퍼니(국내)	냠냠엔터테인먼트
2021-10-18	2021년	192	1	88860334	Painkiller	Ruel	Painkiller	2019-04-30	2019년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	RCA Records Label
2021-10-18	2021년	193	1	87307557	있잖아	폴킴	연애플레이리스트2 OST Part.2	2017-07-21	2017년	드라마	OST	(주)삼쩜일사	스페이스오디티
2021-10-18	2021년	194	1	88194599	IDOL	방탄소년단	LOVE YOURSELF 結 'Answer'	2018-08-24	2018년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2021-10-18	2021년	195	1	89238855	그대라는 시	태연 (TAEYEON)	호텔 델루나 OST Part.3 (tvN 토일드라마)	2019-07-21	2019년	드라마	OST	(주)드림어스컴퍼니(국내)	냠냠엔터테인먼트
2021-10-18	2021년	196	1	94537186	밤새 니가 내려	케이시 (Kassy)	밤새 니가 내려	2021-10-10	2021년	R&B/소울	가요	주식회사 벅스(BUGS Corporation)	(주)도너츠컬처
2021-10-18	2021년	197	1	38366454	내사람 : Partner For Life	SG워너비	The 3rd Masterpiece	2006-04-11	2006년	전체	가요	(주)다날	다날엔터테인먼트
2021-10-18	2021년	198	1	94619397	여가	지아 (Zia)	여가 (2nd MAKE:UP)	2021-10-17	2021년	발라드	가요	주식회사 카카오엔터테인먼트	플렉스엠
2021-10-18	2021년	199	1	93154147	Brand (Feat. 래원 (Layone))	BE'O (비오)	Bipolar	2021-05-02	2021년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	페임어스 엔터테인먼트
2021-10-18	2021년	200	1	88501296	그때가 좋았어	케이시 (Kassy)	그때가 좋았어	2018-12-31	2018년	발라드	가요	주식회사 카카오엔터테인먼트	넥스타엔터테인먼트
2021-10-18	2021년	201	1	88182869	계단말고 엘리베이터	임영웅	계단말고 엘리베이터	2018-08-20	2018년	트로트	가요	(주)뮤직앤뉴	물고기뮤직
2021-10-18	2021년	202	1	94226747	Sticker	NCT 127	Sticker - The 3rd Album	2021-09-17	2021년	랩/힙합	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-10-18	2021년	203	1	87594329	Downtown Baby	블루 (BLOO)	Downtown Baby	2017-12-06	2017년	랩/힙합	가요	(주)비타민엔터테인먼트(국내)	UNCUTPOINT
2021-10-18	2021년	204	1	87993384	FAKE LOVE	방탄소년단	LOVE YOURSELF 轉 'Tear'	2018-05-18	2018년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2021-10-18	2021년	205	1	89702572	Square (2017)	백예린 (Yerin Baek)	Every letter I sent you.	2019-12-10	2019년	전체	가요	(주)드림어스컴퍼니(국내)	블루바이닐
