년도	월	앨범명	앨범유형	플랫폼 앨범 종류	아티스트명	유형	음반 판매량	유통사
2023년	08월	TWO RABBITS	피지컬앨범		마마무+	걸그룹	72,844	Kakao Entertainment
2023년	08월	MAXIDENT	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	67,837	Dreamus
2024년	04월	COLOURS	피지컬앨범		솔라	여자솔로	17,776	Kakao Entertainment
2023년	08월	9th Mini Album `Attacca`	피지컬앨범		세븐틴	보이그룹	60,922	YG PLUS
2023년	05월	R	피지컬앨범		로제 (ROSE)	여자솔로	17,628	YG PLUS
2023년	08월	THE UNSEEN	피지컬앨범		셔누X형원 (몬스타엑스)	남성듀오	52,305	Kakao Entertainment
2023년	08월	Frame the Blueprint : Prelude to Possibilities	피지컬앨범		티아이오티 (TIOT)	보이그룹	51,895	Warner Music
2023년	08월	2nd Mini Album [Seoul Dreaming]	피지컬앨범		H1-KEY	걸그룹	49,769	Sony Music
2023년	08월	2ND FULL ALBUM `REBOOT`	피지컬앨범		TREASURE (트레저)	보이그룹	46,922	YG PLUS
2023년	08월	I feel	피지컬앨범		(여자)아이들	걸그룹	45,461	Kakao Entertainment
2023년	08월	TEENFRESH (MINIRECORD)	플랫폼앨범	MINIRECORD 앨범	STAYC(스테이씨)	걸그룹	44,998	Kakao Entertainment
2023년	10월	Guilty - The 4th Mini Album (SMC)	플랫폼앨범	SMC 앨범	태민 (TAEMIN)	남자솔로	24,411	Kakao Entertainment
2023년	08월	2nd EP `Get Up` (Weverse)	플랫폼앨범	WEVERSE 앨범	NewJeans	걸그룹	42,361	YG PLUS
2024년	01월	R	피지컬앨범		로제 (ROSE)	여자솔로	17,577	YG PLUS
2023년	08월	UNFORGIVEN	피지컬앨범		LE SSERAFIM (르세라핌)	걸그룹	30,425	YG PLUS
